id,category_id,question,explanation,difficulty,created_at
22,virgula,Identifique a alternativa em que a vírgula está sendo usada corretamente:,A vírgula separa elementos de uma enumeração.,1,2025-05-06 00:45:24.225702+00
23,virgula,Qual alternativa apresenta o uso correto da vírgula para isolar o aposto?,O aposto é um termo que explica ou especifica outro termo da oração e deve ser isolado por vírgulas.,1,2025-05-06 00:45:24.225702+00
24,virgula,Identifique a frase em que a vírgula está sendo usada corretamente com o adjunto adverbial:,"Adjuntos adverbiais deslocados, especialmente no início da frase, devem ser seguidos de vírgula.",1,2025-05-06 00:45:24.225702+00
25,virgula,Onde a vírgula está sendo usada INCORRETAMENTE?,Não se usa vírgula para separar o sujeito do predicado.,2,2025-05-06 00:45:24.225702+00
26,virgula,Qual alternativa apresenta o uso correto da vírgula com expressão explicativa?,"Expressões explicativas como ""ou seja"", ""isto é"", ""por exemplo"" devem ser isoladas por vírgulas.",2,2025-05-06 00:45:24.225702+00
27,virgula,Qual frase apresenta o uso correto da vírgula com vocativo?,"O vocativo é um termo usado para chamar, invocar ou interpelar alguém e deve ser separado por vírgula.",1,2025-05-06 00:45:24.225702+00
28,virgula,"Na frase ""Sim, eu concordo com você"", a vírgula é usada para:","Palavras de afirmação, negação ou dúvida no início da frase devem ser seguidas de vírgula.",2,2025-05-06 00:45:24.225702+00
29,virgula,"Na frase ""Ele estudou muito, portanto merece passar"", a vírgula é usada para:","A vírgula é usada para separar orações coordenadas, especialmente quando ligadas por conjunções conclusivas como ""portanto"".",2,2025-05-06 00:45:24.225702+00
30,virgula,Onde a vírgula é obrigatória?,A vírgula é obrigatória para isolar o aposto.,3,2025-05-06 00:45:24.225702+00
31,virgula,Qual alternativa apresenta o uso correto da vírgula em orações subordinadas adverbiais?,"Orações subordinadas adverbiais, especialmente quando antepostas à oração principal, devem ser seguidas de vírgula.",3,2025-05-06 00:45:24.225702+00
54,virgula-2,Identifique a alternativa em que a vírgula é usada para separar orações coordenadas:,"A vírgula é usada para separar orações coordenadas quando elas têm sujeitos diferentes ou quando a conjunção ""e"" está ausente.",2,2025-05-07 15:14:52.547962+00
55,virgula-2,Em qual alternativa a vírgula é usada para isolar um adjunto adverbial deslocado?,"Adjuntos adverbiais deslocados (fora da ordem direta da frase) geralmente são isolados por vírgulas, especialmente quando são longos ou quando se quer dar ênfase a eles.",2,2025-05-07 15:14:52.547962+00
56,virgula-2,Identifique a alternativa em que a vírgula é usada incorretamente:,"A vírgula não deve separar o sujeito do predicado, nem o verbo de seus complementos diretos, indiretos ou predicativos.",3,2025-05-07 15:14:52.547962+00
57,virgula-2,Em qual alternativa a vírgula é usada para isolar uma oração subordinada adjetiva explicativa?,"Orações subordinadas adjetivas explicativas são isoladas por vírgulas porque trazem uma informação adicional, não essencial para a identificação do termo que modificam.",3,2025-05-07 15:14:52.547962+00
58,virgula-2,Identifique a alternativa em que a vírgula é usada para separar termos de mesma função sintática:,"A vírgula é usada para separar termos de mesma função sintática (sujeitos, objetos, adjuntos, etc.) quando não estão unidos por conjunção.",2,2025-05-07 15:14:52.547962+00
59,virgula-2,Em qual alternativa a vírgula é usada para isolar um vocativo?,"O vocativo é um termo que serve para chamar, invocar ou interpelar alguém no discurso. Ele é sempre isolado por vírgula.",2,2025-05-07 15:14:52.547962+00
60,virgula-2,Identifique a alternativa em que a vírgula é usada para marcar a elipse (omissão) de um verbo:,"A vírgula pode ser usada para marcar a elipse (omissão) de um verbo que já foi mencionado anteriormente na frase, evitando sua repetição.",3,2025-05-07 15:14:52.547962+00
61,virgula-2,Em qual alternativa a vírgula é usada para isolar uma expressão explicativa?,"Expressões explicativas como ""isto é"", ""ou seja"", ""por exemplo"", ""a saber"", entre outras, são sempre isoladas por vírgulas.",2,2025-05-07 15:14:52.547962+00
62,virgula-2,Identifique a alternativa em que a vírgula é usada para separar orações coordenadas assindéticas (sem conjunção):,Orações coordenadas assindéticas são aquelas que não estão ligadas por conjunção. Elas são separadas por vírgula.,3,2025-05-07 15:14:52.547962+00
63,virgula-2,Em qual alternativa a vírgula é usada para isolar uma oração intercalada?,"Orações intercaladas são aquelas que interrompem a sequência natural da frase, inserindo uma informação adicional. Elas são sempre isoladas por vírgulas.",3,2025-05-07 15:14:52.547962+00
64,virgula-3,Qual alternativa apresenta o uso correto da vírgula para separar o adjunto adverbial deslocado?,"Adjuntos adverbiais deslocados, especialmente os mais longos, devem ser separados por vírgula.",2,2025-05-07 15:30:34.93437+00
65,virgula-3,Qual alternativa apresenta o uso correto da vírgula para isolar o aposto explicativo?,"O aposto explicativo é um termo que explica ou esclarece o termo anterior, e deve ser isolado por vírgulas.",2,2025-05-07 15:30:34.93437+00
66,virgula-3,Em qual alternativa a vírgula é usada corretamente para separar orações coordenadas?,"Orações coordenadas são separadas por vírgula quando não há conjunção ou quando a conjunção é ""e"" e as orações têm sujeitos diferentes.",3,2025-05-07 15:30:34.93437+00
67,virgula-3,Qual alternativa apresenta o uso correto da vírgula para isolar expressões explicativas?,"Expressões explicativas como ""isto é"", ""ou seja"", ""por exemplo"", entre outras, devem ser isoladas por vírgulas.",2,2025-05-07 15:30:34.93437+00
68,virgula-3,Em qual alternativa a vírgula é usada corretamente antes da conjunção adversativa?,"Conjunções adversativas como ""mas"", ""porém"", ""contudo"", ""entretanto"", entre outras, são geralmente precedidas de vírgula.",2,2025-05-07 15:30:34.93437+00
69,virgula-3,Qual alternativa apresenta o uso correto da vírgula para isolar o vocativo?,"O vocativo é um termo usado para chamar ou interpelar alguém, e deve ser isolado por vírgula.",2,2025-05-07 15:30:34.93437+00
70,virgula-3,Em qual alternativa a vírgula é usada corretamente para separar elementos de uma enumeração?,Elementos de uma enumeração devem ser separados por vírgula quando não estão ligados por conjunção.,2,2025-05-07 15:30:34.93437+00
71,virgula-3,Qual alternativa apresenta o uso correto da vírgula para isolar uma oração subordinada adverbial anteposta à principal?,Orações subordinadas adverbiais antepostas à oração principal são geralmente separadas por vírgula.,3,2025-05-07 15:30:34.93437+00
72,virgula-3,Em qual alternativa a vírgula é usada corretamente para isolar uma oração subordinada adjetiva explicativa?,"Orações subordinadas adjetivas explicativas devem ser isoladas por vírgulas, pois trazem uma informação adicional, não essencial para a identificação do termo que modificam.",3,2025-05-07 15:30:34.93437+00
73,virgula-3,Qual alternativa apresenta o uso correto da vírgula para marcar a elipse (omissão) de um verbo?,A vírgula pode ser usada para marcar a elipse (omissão) de um verbo que já foi mencionado anteriormente na frase.,3,2025-05-07 15:30:34.93437+00
